id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
1389363178963300190,https://www.airbnb.com/rooms/1389363178963300190,Copacabana,-22.9698692,-43.1838755,Entire home/apt,4,1.0,1.0,1.0,226.0,5.0,5.0
1385110088697269915,https://www.airbnb.com/rooms/1385110088697269915,Barra da Tijuca,-23.00124,-43.39273,Private room,2,1.0,1.0,1.0,409.0,4.56,4.56
3225290,https://www.airbnb.com/rooms/3225290,Copacabana,-22.97187,-43.18665,Entire home/apt,4,2.0,1.0,3.0,592.0,4.75,4.5
666127878633328502,https://www.airbnb.com/rooms/666127878633328502,Freguesia (Jacarepaguá),-22.941700470236643,-43.34613146221573,Private room,2,1.0,1.0,1.0,91.0,5.0,5.0
1039141182254166564,https://www.airbnb.com/rooms/1039141182254166564,Jacarepaguá,-22.95958588364797,-43.378035351634026,Entire home/apt,3,2.0,2.0,1.0,400.0,,
1110811899565434743,https://www.airbnb.com/rooms/1110811899565434743,Flamengo,-22.93865,-43.1789,Entire home/apt,3,2.0,1.0,0.0,252.0,4.93,4.93
1347299634696733836,https://www.airbnb.com/rooms/1347299634696733836,Copacabana,-22.9712420908952,-43.19091435682077,Private room,2,1.0,1.0,1.0,130.0,5.0,4.85
1287063496235412582,https://www.airbnb.com/rooms/1287063496235412582,Guaratiba,-23.0554448,-43.5582605,Entire home/apt,6,2.0,2.0,2.0,261.0,,
25260973,https://www.airbnb.com/rooms/25260973,Copacabana,-22.96826,-43.19002,Entire home/apt,1,1.0,1.0,1.0,271.0,5.0,4.97
1360321855639060680,https://www.airbnb.com/rooms/1360321855639060680,Botafogo,-22.94015546646639,-43.178857315717664,Entire home/apt,3,1.0,1.0,1.0,179.0,5.0,4.8
1136497860346456758,https://www.airbnb.com/rooms/1136497860346456758,Copacabana,-22.96798,-43.18226,Entire home/apt,4,1.0,1.0,2.0,115.0,4.9,4.9
991309366482825717,https://www.airbnb.com/rooms/991309366482825717,Jacarepaguá,-22.9626048,-43.390878,Entire home/apt,4,1.0,1.0,2.0,144.0,4.63,4.63
1248450767138482752,https://www.airbnb.com/rooms/1248450767138482752,Flamengo,-22.93032,-43.1756,Entire home/apt,6,1.5,3.0,5.0,377.0,5.0,5.0
45669734,https://www.airbnb.com/rooms/45669734,Ipanema,-22.9873,-43.19069,Entire home/apt,4,1.0,1.0,2.0,311.0,4.4,4.32
1287885148714547867,https://www.airbnb.com/rooms/1287885148714547867,Botafogo,-22.94837,-43.18269,Private room,2,1.0,1.0,1.0,450.0,5.0,5.0
1226356059813437252,https://www.airbnb.com/rooms/1226356059813437252,Botafogo,-22.947252756619168,-43.18355380020723,Entire home/apt,5,1.0,1.0,3.0,204.0,5.0,5.0
